source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;skeleton;;1890;NA;Baginbun Head;Ireland;NH:1890.135.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;head bones;;1994;recent stranding;Baltimore;Ireland;NH:1999.20.1;NA;only head bones?;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;acutus;White-sided dolphin;skeleton;;1933;NA;Cartron Bay;Ireland;NH:1933.66.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;"skull; jaws";;1883;recent;Portavoe;Ireland;NH:1891.87.1;NA;1800s, skeleton also in collection;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;skeleton;;1903;recent;Dublin;Ireland;NH:1901.483.1;NA;1900s;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;skeleton;;NA;NA;;NA;NH:2008.85.144;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;skeleton;;1901;NA;Dublin Bay;Ireland;NH:1901.483.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;jaw;;NA;recent bycatch;Dingle;Ireland;NH:1983.106.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;skeleton;;1993;recent stranding;Waterville;Ireland;NH:1999.18.1;NA;only head bones?;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;albirostris;White-beaked dolphin;skeleton;;1993;NA;Camp;Ireland;NH:1999.19.1;NA;only head bones?;
National Museum Ireland (NMI);email;NMI;Lagenorhynchus;obliquidens;Pacific white-beaked dolphin;skeleton;;1977;NA;Malaranny;Ireland;NH:1977.147.1;NA;almost completely decomposed;
National Museum Ireland (NMI);email;NMI;Orcinus;orca;Killer whale;tooth;1;1943;NA;Kilkee Bay;Ireland;NH:1944.7.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Orcinus;orca;Killer whale;skeleton;;2001;recent stranding;Crosshaven;Ireland;NH:2003.85.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Orcinus;orca;Killer whale;tooth;1;1983;recent stranding;Mweelahorna;Ireland;NH:1983.116.1;NA;IMS…;
National Museum Ireland (NMI);email;NMI;Orcinus;orca;Killer whale;skull;;1871;whaling;Killala Bay;Ireland;NH:2008.85.654;NA;NA;
National Museum Ireland (NMI);email;NMI;Pseudorca;crassidens;False killer whale;skeleton;;1927;recent stranding;Dornoch Firth;Ireland;NH:1934.69.2;NA;incomplete;
National Museum Ireland (NMI);email;NMI;Stenella;coeruleoalba;Striped dolphin;skeleton;;NA;NA;Ballycotton;Ireland;NH:1985.144.1;NA;NA;
