Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Date,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
Rotterdam,9990-1479,19.759,19.735,8.979,23.106,6.426,1992,1992-08-00,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-1357,18.550,18.254,9.145,21.733,6.342,1999,1999-02-28,Westerschelde,Netherlands,F,NA,NA,NA,,,,
Edinburgh,1993.73.18,17.685,17.865,8.412,22.172,6.470,1991,1991-02-18,"Bridlington Bay, Yorkshire, England, Northern Europe",England,M,103.0,NA,juvenile,"lat: 54,058219, long: -0.183493
",,,
Edinburgh,1993.114.2,21.087,20.801,9.581,24.583,7.498,1993,1993-03-07,"Formby Point, Lancashire, England, Northern Europe",England,M,132.0,NA,adult,"lat: 53,550906, long: -3.106314
",,,
Edinburgh,1993.114.3,22.123,21.544,10.274,26.587,7.453,1993,1993-03-16,"SH358673, Bodorgan Head, Anglesey, Wales, Northern Europe",England,F,144.0,NA,subadult,"left maxilla grows weirdly, thus its higher than the right.lat:53,177399, long:-4.458393, ",,,
Edinburgh,1993.73.14,17.309,17.614,8.218,21.623,6.453,1991,1991-03-09,"Amble, Northumberland, England, Northern Europe",England,M,0.940,NA,juvenile,"lat: 55,335418, long: -1.570201",,,
Edinburgh,1993.73.17,17.674,17.630,8.239,22.478,6.335,1991,1991-03-13,"Seahouses, Northumberland, England, Northern Europe",England,M,111.0,NA,juvenile,"lat: 55,594709, long: -1.679443",,,
Edinburgh,1993.73.16,20.129,20.414,8.834,24.644,6.846,1991,1991-06-10,"Llandwg beach, Gwynedd, Wales, Northern Europe",Wales,M,127.0,NA,subadult,"lat:52,835366, long: -4.128378",,,
Edinburgh,1994.55.15,17.573,17.679,7.602,23.925,7.488,1994,1994-02-18,"Gosford, East Lothian, Scotland, Northern Europe",Scotland,F,112.0,NA,juvenile,"rostrum slightely broken, lat: 55,999413, long: -2.885823",,,
Edinburgh,1994.55.16,20.652,20.744,9.509,26.005,7.785,1994,1994-05-13,"Lossiemouth, Morayshire, Scotland, Northern Europe",Scotland,NA,150.0,NA,adult,"lat:57,711326, long:-3.260697",,,
Edinburgh,1994.55.23,19.654,19.248,8.907,24.971,7.126,1994,1994-02-25,"Blackness, West Lothian, Scotland, Northern Europe",Scotland,M,NA,NA,juvenile,"lat: 56,006209, long: -3.529526",,,
Edinburgh,1994.55.24,20.194,20.225,8.086,23.434,7.306,1994,1994-08-22,"Cromarty, Ross and Cromarty, Scotland, Northern Europe",Scotland,NA,NA,NA,juvenile,"lat: 57,677019, long: -3.993426",,,
Edinburgh,1994.55.25,17.565,17.438,8.216,22.132,6.688,1994,1994-05-24,"Holy Island, Northumberland, England, Northern Europe",England,F,107.0,NA,juvenile,"lat: 55,681346, long: -1.812473",,,
Edinburgh,1994.55.8,18.169,18.201,8.402,22.994,7.120,1994,1994-02-23,"Fraserburgh, Aberdeenshire, Scotland, Northern Europe",Scotland,NA,NA,NA,juvenile,"lat: 57,661614, long:-1.910960",,,
Edinburgh,1994.55.9,18.719,18.461,8.111,24.024,7.970,1994,1994-04-02,"Burghead, Morayshire, Scotland, Northern Europe",Scotland,NA,NA,NA,juvenile,"lat: 57,703402, long: -3.487501",,,
Edinburgh,1994.55.11,22.629,22.577,10.603,28.297,8.057,1994,1994-07-28,"Fortrose, Ross and Cromarty, Scotland, Northern Europe",Scotland,F,154.0,NA,adult,"lat: 57,573927, long: -4.096774",,,
Edinburgh,1994.55.12,19.847,19.429,8.463,21.982,6.617,1994,1994-04-23,"Ardersier, Inverness-shire, Scotland, Northern Europe",Scotland,M,106.0,NA,juvenile,"lat: 57,561338, long: -4.042552
",,,
